"title","industry","genre","year","director","cast","rating","description","poster_url"
"Ssukh","Bollywood","Comedy Family Romance","2005","Kirti Kumar","Aarti Chhabria, Jackie Shroff, Mahesh Anand, Rana Jung Bahadur","4.4","A Bollywood Comedy Family Romance film released in 2005, directed by Kirti Kumar and starring Aarti Chhabria, Jackie Shroff, Mahesh Anand, Rana Jung Bahadur.",""
"Khosla's Nest","Bollywood","Comedy Crime Drama","2006","Dibakar Banerjee","Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma","7.1","A Bollywood Comedy Crime Drama film released in 2006, directed by Dibakar Banerjee and starring Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma.",""
"The Film","Bollywood","Drama Thriller","2005","Junaid Memon","Nassar Abdulla, Ravi Baswani, Rakesh Bedi, Mahima Chaudhry","4.4","A Bollywood Drama Thriller film released in 2005, directed by Junaid Memon and starring Nassar Abdulla, Ravi Baswani, Rakesh Bedi, Mahima Chaudhry.",""
"Siskiyaan","Bollywood","Drama Thriller","2005","Ashwini Chaudhary","Sanjay Chauhan, Neha Dhupia, Sachin Khedekar, Preeti Puri","4.4","A Bollywood Drama Thriller film released in 2005, directed by Ashwini Chaudhary and starring Sanjay Chauhan, Neha Dhupia, Sachin Khedekar, Preeti Puri.",""
"Kasak","Bollywood","Drama","2005","Rajiv Babbar","Lucky Ali, Meera, Mukesh Tiwari, Nandini","4.4","A Bollywood Drama film released in 2005, directed by Rajiv Babbar and starring Lucky Ali, Meera, Mukesh Tiwari, Nandini.",""
"Saawan... The Love Season","Bollywood","Romance","2006","Saawan Kumar Tak","Salman Khan, Saloni Aswani, Kapil Jhaveri, Prem Chopra","5.3","A Bollywood Romance film released in 2006, directed by Saawan Kumar Tak and starring Salman Khan, Saloni Aswani, Kapil Jhaveri, Prem Chopra.",""
"Yun Hota Toh Kya Hota: What If...?","Bollywood","Drama","2006","Naseeruddin Shah","Konkona Sen Sharma, Irrfan Khan, Ayesha Takia, Jimmy Shergill","4.4","A Bollywood Drama film released in 2006, directed by Naseeruddin Shah and starring Konkona Sen Sharma, Irrfan Khan, Ayesha Takia, Jimmy Shergill.",""
"Neal 'N' Nikki","Bollywood","Comedy Musical Romance","2005","Arjun Sablok","Uday Chopra, Tanisha, Abhishek Bachchan, Richa Pallod","5.3","A Bollywood Comedy Musical Romance film released in 2005, directed by Arjun Sablok and starring Uday Chopra, Tanisha, Abhishek Bachchan, Richa Pallod.",""
"Darwaza Bandh Rakho","Bollywood","Comedy Crime Drama","2006","J.D. Chakravarthi","Ishrat Ali, Abhay Bhargav, Snehal Dabi, Divya Dutta","4.4","A Bollywood Comedy Crime Drama film released in 2006, directed by J.D. Chakravarthi and starring Ishrat Ali, Abhay Bhargav, Snehal Dabi, Divya Dutta.",""
"Ram Gopal Varma's Indian Flames","Bollywood","Action Adventure Comedy","2007","Ram Gopal Varma","Amitabh Bachchan, Mohanlal, Ajay Devgn, Vinod Jaywant","4.4","A Bollywood Action Adventure Comedy film released in 2007, directed by Ram Gopal Varma and starring Amitabh Bachchan, Mohanlal, Ajay Devgn, Vinod Jaywant.",""
"Jaane Tu... Ya Jaane Na","Bollywood","Comedy Drama Romance","2008","Abbas Tyrewala","Imran Khan, Genelia D'Souza, Manjari Phadnis, Ayaz Khan","9.8","A Bollywood Comedy Drama Romance film released in 2008, directed by Abbas Tyrewala and starring Imran Khan, Genelia D'Souza, Manjari Phadnis, Ayaz Khan.",""
"...Yahaan","Bollywood","Romance","2005","Shoojit Sircar","Jimmy Shergill, Minissha Lamba, Yashpal Sharma, Mukesh Tiwari","4.4","A Bollywood Romance film released in 2005, directed by Shoojit Sircar and starring Jimmy Shergill, Minissha Lamba, Yashpal Sharma, Mukesh Tiwari.",""
"Shikhar","Bollywood","Drama Musical Romance","2005","John Mathew Matthan","Ajay Devgn, Shahid Kapoor, Bipasha Basu, Amrita Rao","5.3","A Bollywood Drama Musical Romance film released in 2005, directed by John Mathew Matthan and starring Ajay Devgn, Shahid Kapoor, Bipasha Basu, Amrita Rao.",""
"Vaah! Life Ho Toh Aisi!","Bollywood","Comedy Family Musical","2005","Mahesh Manjrekar","Shahid Kapoor, Amrita Rao, Sanjay Dutt, Arshad Warsi","5.3","A Bollywood Comedy Family Musical film released in 2005, directed by Mahesh Manjrekar and starring Shahid Kapoor, Amrita Rao, Sanjay Dutt, Arshad Warsi.",""
"Bluffmaster!","Bollywood","Comedy Romance Thriller","2005","Rohan Sippy","Abhishek Bachchan, Priyanka Chopra, Ritesh Deshmukh, Nana Patekar","8","A Bollywood Comedy Romance Thriller film released in 2005, directed by Rohan Sippy and starring Abhishek Bachchan, Priyanka Chopra, Ritesh Deshmukh, Nana Patekar.",""
"God Tussi Great Ho","Bollywood","Comedy Drama Romance","2008","Rumi Jaffery","Amitabh Bachchan, Salman Khan, Priyanka Chopra, Anupam Kher","5.3","A Bollywood Comedy Drama Romance film released in 2008, directed by Rumi Jaffery and starring Amitabh Bachchan, Salman Khan, Priyanka Chopra, Anupam Kher.",""
"Aksar","Bollywood","Drama Romance","2006","Anant Mahadevan","Rajat Bedi, Till Dilumi?re, Udita Goswami, Hendrik Greis","8","A Bollywood Drama Romance film released in 2006, directed by Anant Mahadevan and starring Rajat Bedi, Till Dilumi?re, Udita Goswami, Hendrik Greis.",""
"Big Brother","Bollywood","Action Crime","2007","Guddu Dhanoa","Sunny Deol, Priyanka Chopra, Vikas Anand, Manoj Bhatia","4.4","A Bollywood Action Crime film released in 2007, directed by Guddu Dhanoa and starring Sunny Deol, Priyanka Chopra, Vikas Anand, Manoj Bhatia.",""
"Malamaal Weekly","Bollywood","Comedy Drama Romance","2006","Priyadarshan","Paresh Rawal, Om Puri, Ritesh Deshmukh, Reema Sen","9.8","A Bollywood Comedy Drama Romance film released in 2006, directed by Priyadarshan and starring Paresh Rawal, Om Puri, Ritesh Deshmukh, Reema Sen.",""
"Nehlle Pe Dehlla","Bollywood","Comedy Thriller","2007","Ajay Chandhok","Saif Ali Khan, Bipasha Basu, Neha Dhupia, Sanjay Dutt","4.4","A Bollywood Comedy Thriller film released in 2007, directed by Ajay Chandhok and starring Saif Ali Khan, Bipasha Basu, Neha Dhupia, Sanjay Dutt.",""
"Ramji Londonwaley","Bollywood","Comedy Drama Family","2005","Sanjay Dayma","Madhavan, Samita Bangargi, Satish Shah, Akhilendra Mishra","4.4","A Bollywood Comedy Drama Family film released in 2005, directed by Sanjay Dayma and starring Madhavan, Samita Bangargi, Satish Shah, Akhilendra Mishra.",""
"Taxi No. 9 2 11: Nau Do Gyarah","Bollywood","Comedy Drama Thriller","2006","Milan Luthria","Nana Patekar, John Abraham, Sonali Kulkarni, Sameera Reddy","8","A Bollywood Comedy Drama Thriller film released in 2006, directed by Milan Luthria and starring Nana Patekar, John Abraham, Sonali Kulkarni, Sameera Reddy.",""
"Tom, Dick, and Harry","Bollywood","Comedy Romance","2006","Deepak Tijori","Rakesh Bedi, Bobby Darling, Avtar Gill, Gulshan Grover","7.1","A Bollywood Comedy Romance film released in 2006, directed by Deepak Tijori and starring Rakesh Bedi, Bobby Darling, Avtar Gill, Gulshan Grover.",""
"36 China Town","Bollywood","Comedy Mystery Thriller","2006","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshaye Khanna, Kareena Kapoor, Shahid Kapoor, Paresh Rawal","8","A Bollywood Comedy Mystery Thriller film released in 2006, directed by Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla and starring Akshaye Khanna, Kareena Kapoor, Shahid Kapoor, Paresh Rawal.",""
"Aashiq Banaya Aapne: Love Takes Over","Bollywood","Drama Romance Thriller","2005","Aditya Datt","Tanushree Dutta, Preeti Ganguli, Emraan Hashmi, Ashwini Khalsekar","6.2","A Bollywood Drama Romance Thriller film released in 2005, directed by Aditya Datt and starring Tanushree Dutta, Preeti Ganguli, Emraan Hashmi, Ashwini Khalsekar.",""
"Bengal Tiger","Bollywood","Action Crime","2001","Adarsh Jain","Sandeep Bedi, Mithun Chakraborty, Roshini Jaffery, Raushani Jaffrey","4.4","A Bollywood Action Crime film released in 2001, directed by Adarsh Jain and starring Sandeep Bedi, Mithun Chakraborty, Roshini Jaffery, Raushani Jaffrey.",""
"Sehar","Bollywood","Action Crime Drama","2005","Kabeer Kaushik","Arshad Warsi, Pankaj Kapur, Mahima Chaudhry, Sushant Singh","5.3","A Bollywood Action Crime Drama film released in 2005, directed by Kabeer Kaushik and starring Arshad Warsi, Pankaj Kapur, Mahima Chaudhry, Sushant Singh.",""
"Koi Mere Dil Mein Hai","Bollywood","Drama","2005","Deepak Ramsay","Dia Mirza, Sadashiv Amrapurkar, Rita Bhaduri, Birbal","4.4","A Bollywood Drama film released in 2005, directed by Deepak Ramsay and starring Dia Mirza, Sadashiv Amrapurkar, Rita Bhaduri, Birbal.",""
"Gumnam Qatil","Bollywood","Horror","2001","Harinam Singh","Yunus Parvez, Mahesh Raj, Ghanshyam Rohera, Rakesh","4.4","A Bollywood Horror film released in 2001, directed by Harinam Singh and starring Yunus Parvez, Mahesh Raj, Ghanshyam Rohera, Rakesh.",""
"Pyaar Ke Side Effects","Bollywood","Comedy Drama Romance","2006","Saket Chaudhary","Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena","6.2","A Bollywood Comedy Drama Romance film released in 2006, directed by Saket Chaudhary and starring Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena.",""
"Ek Aur Visphot","Bollywood","Crime","2002","M.I. Raj","Makrand Deshpande, Kishori Godbole, Raza Murad, Mahavir Shah","4.4","A Bollywood Crime film released in 2002, directed by M.I. Raj and starring Makrand Deshpande, Kishori Godbole, Raza Murad, Mahavir Shah.",""
"Kyon?","Bollywood","Crime","2003","Kalpana Lajmi","Vinay Apte, Ashok Beniwal, Chaitanya Chaudhary, Rahul Dev","4.4","A Bollywood Crime film released in 2003, directed by Kalpana Lajmi and starring Vinay Apte, Ashok Beniwal, Chaitanya Chaudhary, Rahul Dev.",""
"Bullet: Ek Dhamaka","Bollywood","Action Drama","2005","Irfan Khan","Benjamin Gilani, Natalya Gudkova, Iqbal Khan, Asseem Merchant","4.4","A Bollywood Action Drama film released in 2005, directed by Irfan Khan and starring Benjamin Gilani, Natalya Gudkova, Iqbal Khan, Asseem Merchant.",""
"Marshal","Bollywood","Action","2002","Manish R. Khandelwal","Ishrat Ali, Liyaqat Bari, Mithun Chakraborty, Charulatha","4.4","A Bollywood Action film released in 2002, directed by Manish R. Khandelwal and starring Ishrat Ali, Liyaqat Bari, Mithun Chakraborty, Charulatha.",""
"Miss India: The Mystery","Bollywood","Mystery","2003","Pradeep Maini","Priyanka Chopra, Neha Dhupia, Dolly, Supriya Karnik","4.4","A Bollywood Mystery film released in 2003, directed by Pradeep Maini and starring Priyanka Chopra, Neha Dhupia, Dolly, Supriya Karnik.",""
"Salaam-E-Ishq","Bollywood","Comedy Drama Musical","2007","Nikhil Advani","Salman Khan, Priyanka Chopra, Anil Kapoor, Juhi Chawla","4.4","A Bollywood Comedy Drama Musical film released in 2007, directed by Nikhil Advani and starring Salman Khan, Priyanka Chopra, Anil Kapoor, Juhi Chawla.",""
"Jawani Diwani: A Youthful Joyride","Bollywood","Romance","2006","Manish Sharma","Emraan Hashmi, Celina Jaitly, Hrishitaa Bhatt, Mahesh Manjrekar","5.3","A Bollywood Romance film released in 2006, directed by Manish Sharma and starring Emraan Hashmi, Celina Jaitly, Hrishitaa Bhatt, Mahesh Manjrekar.",""
"Main, Meri Patni... Aur Woh!","Bollywood","Comedy Drama Romance","2005","Chandan Arora","Naseeruddin Shah, Rajpal Yadav, Rituparna Sengupta, Kay Kay Menon","4.4","A Bollywood Comedy Drama Romance film released in 2005, directed by Chandan Arora and starring Naseeruddin Shah, Rajpal Yadav, Rituparna Sengupta, Kay Kay Menon.",""
"Umrao Jaan","Bollywood","Drama Romance","2006","J.P. Dutta","Aishwarya Rai Bachchan, Shabana Azmi, Sunil Shetty, Abhishek Bachchan","4.4","A Bollywood Drama Romance film released in 2006, directed by J.P. Dutta and starring Aishwarya Rai Bachchan, Shabana Azmi, Sunil Shetty, Abhishek Bachchan.",""
"Time Pass","Bollywood","Romance","2005","Chander Mishra","Sherlyn Chopra, Tanaaz Currim Irani, Adi Irani, Monica Patel","4.4","A Bollywood Romance film released in 2005, directed by Chander Mishra and starring Sherlyn Chopra, Tanaaz Currim Irani, Adi Irani, Monica Patel.",""
"London Dreams","Bollywood","Musical","2009","Vipul Amrutlal Shah","Salman Khan, Om Puri, Ajay Devgn, Dilyana Bouklieva","5.3","A Bollywood Musical film released in 2009, directed by Vipul Amrutlal Shah and starring Salman Khan, Om Puri, Ajay Devgn, Dilyana Bouklieva.",""
"Chand Bujh Gaya","Bollywood","Drama Thriller","2005","Sharique Minhaj","Mukesh Ahuja, Ishrat Ali, Aliza, Neha Bam","4.4","A Bollywood Drama Thriller film released in 2005, directed by Sharique Minhaj and starring Mukesh Ahuja, Ishrat Ali, Aliza, Neha Bam.",""
"Chetna: The Excitement","Bollywood","Thriller","2005","N/A","Jatin Grewal, Navneet Kaur, Kiran Kumar, Payal Rohatgi","4.4","A Bollywood Thriller film released in 2005, directed by N/A and starring Jatin Grewal, Navneet Kaur, Kiran Kumar, Payal Rohatgi.",""
"Darwaza","Bollywood","Horror","2002","Kanti Shah","Arun Mathur, Anil Nagrath, Amit Pachori, Sapna","4.4","A Bollywood Horror film released in 2002, directed by Kanti Shah and starring Arun Mathur, Anil Nagrath, Amit Pachori, Sapna.",""
"Mazaa Mazaa","Bollywood","Romance","2005","T.L.V. Prasad","Farid Amiri, Mridula Baruah, Pankaj Berry, Camila Bordonaba","4.4","A Bollywood Romance film released in 2005, directed by T.L.V. Prasad and starring Farid Amiri, Mridula Baruah, Pankaj Berry, Camila Bordonaba.",""
"Corporate","Bollywood","Drama","2006","Madhur Bhandarkar","Bipasha Basu, Kay Kay Menon, Raj Babbar, Rajat Kapoor","7.1","A Bollywood Drama film released in 2006, directed by Madhur Bhandarkar and starring Bipasha Basu, Kay Kay Menon, Raj Babbar, Rajat Kapoor.",""
"Omkara","Bollywood","Action Crime Drama","2006","Vishal Bhardwaj","Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma","5.3","A Bollywood Action Crime Drama film released in 2006, directed by Vishal Bhardwaj and starring Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma.",""
"Welcome","Bollywood","Comedy Crime Drama","2007","Anees Bazmee","Akshay Kumar, Nana Patekar, Anil Kapoor, Mallika Sherawat","9.8","A Bollywood Comedy Crime Drama film released in 2007, directed by Anees Bazmee and starring Akshay Kumar, Nana Patekar, Anil Kapoor, Mallika Sherawat.",""
"Hanuman","Bollywood","Animation","2005","V.G. Samant, Milind Ukey","Archi, Rajesh Jolly, Mukesh Khanna, Sushmita Mukherjee","8","A Bollywood Animation film released in 2005, directed by V.G. Samant, Milind Ukey and starring Archi, Rajesh Jolly, Mukesh Khanna, Sushmita Mukherjee.",""
"Koi Aap Sa: But Lovers Have to Be Friends","Bollywood","Comedy Drama Romance","2005","Partho Mitra","Aftab Shivdasani, Anita Hassandani, Dipannita Sharma, Himanshu Malik","4.4","A Bollywood Comedy Drama Romance film released in 2005, directed by Partho Mitra and starring Aftab Shivdasani, Anita Hassandani, Dipannita Sharma, Himanshu Malik.",""
"Zinda","Bollywood","Action Adventure Drama","2006","Sanjay Gupta","Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly","5.3","A Bollywood Action Adventure Drama film released in 2006, directed by Sanjay Gupta and starring Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly.",""
"C U at 9","Bollywood","Drama Horror Mystery","2005","Marlon Rodrigues","Isaiah, Malavikka, Kanksha, Marlon Rodrigues","4.4","A Bollywood Drama Horror Mystery film released in 2005, directed by Marlon Rodrigues and starring Isaiah, Malavikka, Kanksha, Marlon Rodrigues.",""
"Double Cross: Ek Dhoka","Bollywood","Comedy","2005","Vicky Tejwani","Ayesha Jhulka, Negar Khan, Sahil Khan","4.4","A Bollywood Comedy film released in 2005, directed by Vicky Tejwani and starring Ayesha Jhulka, Negar Khan, Sahil Khan.",""
"Good Boy, Bad Boy","Bollywood","Comedy Musical Romance","2007","Ashwini Chaudhary","Tusshar Kapoor, Emraan Hashmi, Isha Sharvani, Tanushree Dutta","5.3","A Bollywood Comedy Musical Romance film released in 2007, directed by Ashwini Chaudhary and starring Tusshar Kapoor, Emraan Hashmi, Isha Sharvani, Tanushree Dutta.",""
"Shaadi Se Pehle","Bollywood","Comedy Musical Romance","2006","Satish Kaushik","Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty","5.3","A Bollywood Comedy Musical Romance film released in 2006, directed by Satish Kaushik and starring Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty.",""
"Love Story 2050","Bollywood","Action Adventure Drama","2008","Harry Baweja","Harman Baweja, Priyanka Chopra, Boman Irani, Archana Puran Singh","4.4","A Bollywood Action Adventure Drama film released in 2008, directed by Harry Baweja and starring Harman Baweja, Priyanka Chopra, Boman Irani, Archana Puran Singh.",""
"Sarkar Raj","Bollywood","Action Crime Drama","2008","Ram Gopal Varma","Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Ravi Kale","6.2","A Bollywood Action Crime Drama film released in 2008, directed by Ram Gopal Varma and starring Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Ravi Kale.",""
"Gangobai","Bollywood","Action","2002","Jitendra Chawda","Prithvi, Satnam Kaur, Durgesh Nandni, Kiran Kumar","4.4","A Bollywood Action film released in 2002, directed by Jitendra Chawda and starring Prithvi, Satnam Kaur, Durgesh Nandni, Kiran Kumar.",""
"Kaaboo","Bollywood","Action","2002","Vicky Ranawat","Rajat Bedi, Sudesh Berry, Abhay Bhargav, Ishwar","4.4","A Bollywood Action film released in 2002, directed by Vicky Ranawat and starring Rajat Bedi, Sudesh Berry, Abhay Bhargav, Ishwar.",""
"Meri Aashiqui","Bollywood","Romance","2005","N/A","Rahul Roy, Himani Shivpuri, Prithvi Zutshi","4.4","A Bollywood Romance film released in 2005, directed by N/A and starring Rahul Roy, Himani Shivpuri, Prithvi Zutshi.",""
"Raghu More: Bachelor of Hearts","Bollywood","Comedy","2003","Iqbal Raj","Anamika Goel, Sonika Kapoor, Mangala Kenkre, Faraha Khan","4.4","A Bollywood Comedy film released in 2003, directed by Iqbal Raj and starring Anamika Goel, Sonika Kapoor, Mangala Kenkre, Faraha Khan.",""
"Prarambh","Bollywood","Drama","2004","Kumar Dave","Mukesh Bhatt, Shama Deshpande, Sanjay Gandhi, Vijay Gupta","4.4","A Bollywood Drama film released in 2004, directed by Kumar Dave and starring Mukesh Bhatt, Shama Deshpande, Sanjay Gandhi, Vijay Gupta.",""
"Fool N Final","Bollywood","Action Comedy Romance","2007","Ahmed Khan","Shahid Kapoor, Ayesha Takia, Vivek Oberoi, Sunny Deol","5.3","A Bollywood Action Comedy Romance film released in 2007, directed by Ahmed Khan and starring Shahid Kapoor, Ayesha Takia, Vivek Oberoi, Sunny Deol.",""
"Apna Sapna Money Money","Bollywood","Comedy Musical Romance","2006","Sangeeth Sivan","Bobby Darling, Ritesh Deshmukh, Avtar Gill, Vrajesh Hirjee","8","A Bollywood Comedy Musical Romance film released in 2006, directed by Sangeeth Sivan and starring Bobby Darling, Ritesh Deshmukh, Avtar Gill, Vrajesh Hirjee.",""
"Vivah","Bollywood","Drama Family Musical","2006","Sooraj R. Barjatya","Shahid Kapoor, Amrita Rao, Anupam Kher, Alok Nath","10.7","A Bollywood Drama Family Musical film released in 2006, directed by Sooraj R. Barjatya and starring Shahid Kapoor, Amrita Rao, Anupam Kher, Alok Nath.",""
"Ankahee","Bollywood","Drama Romance Thriller","2006","Vikram Bhatt","Aftab Shivdasani, Ameesha Patel, Esha Deol, Amin Hajee","4.4","A Bollywood Drama Romance Thriller film released in 2006, directed by Vikram Bhatt and starring Aftab Shivdasani, Ameesha Patel, Esha Deol, Amin Hajee.",""
